concept_id,preferred_label,canonical_path,queue_path,path_alignment,workbook_description,workbook_sha256
AOM_000743,Carboxymethyl Cellulose,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Carboxymethyl Cellulose,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Carboxymethyl Cellulose,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000744,Cement,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Cement,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Cement,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000745,Binder,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000746,Chromium Oxide,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker/Chromium Oxide,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker/Chromium Oxide,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000747,Digestibility Marker,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000748,Asperozym (Fibrolytic Enzymes),Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Asperozym (Fibrolytic Enzymes),Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Asperozym (Fibrolytic Enzymes),aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000749,Axtra Phy Broiler,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Axtra Phy Broiler,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Axtra Phy Broiler,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000753,Bicarbonate of Soda,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Bicarbonate of Soda,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Bicarbonate of Soda,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000754,Calcium,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Calcium,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Calcium,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000755,Chalk,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Chalk,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Chalk,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000756,Copper,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Copper,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Copper,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000757,Dicalcium Phosphate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Dicalcium Phosphate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Dicalcium Phosphate,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000758,Iodated Salt,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Iodated Salt,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Iodated Salt,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000759,Iodine,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Iodine,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Iodine,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000760,Lime,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Lime,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Lime,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000763,Manganese,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Manganese,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Manganese,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000765,Maclik,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Mineral Block/Maclik,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Mineral Block/Maclik,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000766,Mineral Lick,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Mineral Lick,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Mineral Lick,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000768,Monocalcium Phosphate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Monocalcium Phosphate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Monocalcium Phosphate,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000770,Phosphorus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Phosphorus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Phosphorus,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000772,Salt,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Mineral/Salt,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Mineral/Salt,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000774,Selenium,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Selenium,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Selenium,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000776,Sulphur,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Sulphur,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Sulphur,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000777,Tricalcium Phosphate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Tricalcium Phosphate,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Tricalcium Phosphate,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000778,Zinc,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Zinc,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral/Zinc,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000779,Mineral,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Mineral,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000780,Lecithin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Lecithin,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Lecithin,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000781,Other Ingredients,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
