concept_id,preferred_label,ingredient_family,source_identity_candidate,component_candidates,process_candidates,form_candidates,quality_candidates,normalized_signature,confidence,review_route,exception_reason,definition_status,governance_state,status,rule_version
AOM_000531,Ingredient name,Ingredient name,ingredient name,,,,,ingredient name||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000532,Ingredient part,Ingredient part,ingredient part,,,,,ingredient part||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000533,Ingredient species,Ingredient species,ingredient species,,,,,ingredient species||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000534,Ingredient proportion,Ingredient proportion,ingredient proportion,,,,,ingredient proportion||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000535,Ingredient source,Ingredient source,ingredient source,,,,,ingredient source||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",missing,unreviewed,proposed-not-applied,1.0.0
AOM_000536,Blood Ground,Animal,blood,,Grinding,,,blood||Grinding||,high,rule_application_candidate,,missing,approved_source_override,proposed-not-applied,1.0.0
AOM_000537,Blood Dried Ground Heated,Animal,blood,,Drying;Grinding;Heating,,,blood||Drying;Grinding;Heating||,high,rule_application_candidate,,missing,approved_source_override,proposed-not-applied,1.0.0
AOM_000538,Bone Ash,Animal Byproduct,bone ash,,,,,bone ash||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000539,Bone Ground,Animal Byproduct,bone,,Grinding,,,bone||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000540,Bone,Animal Byproduct,bone,,,,,bone||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000542,Crustacean,Animal,crustacean,,,,,crustacean||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000543,Fish Ground,Animal,fish,,Grinding,,,fish||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000544,Fish Oil,Animal,fish,,,Oil,,fish|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000545,Fish Processing Waste,Animal Byproduct,fish processing waste,,,,,fish processing waste||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000547,Nile Perch Fish Oil,Animal,nile perch fish,,,Oil,,nile perch fish|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000549,Fish,Animal,fish,,,,,fish||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000550,African Palm Larvae Ground,Animal,african palm larvae,,Grinding,,,african palm larvae||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000551,Black Soldier Fly Larvae Dried Ground,Animal,black soldier fly larvae,,Drying;Grinding,,,black soldier fly larvae||Drying;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000552,Grasshopper Ground,Animal,grasshopper,,Grinding,,,grasshopper||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000553,Winged Termite Ground,Animal,winged termite,,Grinding,,,winged termite||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000554,Insect,Animal,insect,,,,,insect||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000555,Whole Milk,Animal,milk,,,,,milk||||,low,expert_exception,"whole may mean whole crop, whole grain, whole organism, or physical presentation",missing,unreviewed,proposed-not-applied,1.0.0
AOM_000556,Milk,Animal,milk,,,,,milk||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000557,Oyster Shells,Animal Byproduct,oyster shells,,,,,oyster shells||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000558,Shell,Animal Byproduct,shell,,,,,shell||||,high,retain_atomic_candidate,,missing,approved_source_override,proposed-not-applied,1.0.0
AOM_000559,Animal,Animal,animal,,,,,animal||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000561,Animal Manures,Animal Manures,animal manures,,,,,animal manures||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000563,Unspecified Bran,Crop Byproduct,unspecified,Bran,,,,unspecified|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000564,"Brewers grains, dehydrated",Crop Byproduct,brewers,Grain,Drying,,,brewers|Grain|Drying||,high,rule_application_candidate,,missing,approved_retained_replacement,proposed-not-applied,1.0.0
AOM_000565,Brewers Spent Grain,Crop Byproduct,brewers spent,Grain,,,,brewers spent|Grain|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000567,Hominy Ground,Crop Byproduct,hominy,,Grinding,,,hominy||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000569,Maize Cob,Crop Byproduct,maize,Cob,,,,maize|Cob|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000570,Maize Extruded,Crop Product,maize,,Extrusion,,,maize||Extrusion||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000571,Maize Offal,Crop Byproduct,maize offal,,,,,maize offal||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000572,Maize Straw,Crop Byproduct,maize,Straw,,,,maize|Straw|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000574,Oat Leaves Dried,Crop Byproduct,oat,Leaf,Drying,,,oat|Leaf|Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000575,Rice Bran,Crop Byproduct,rice,Bran,,,,rice|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000576,Rice Husk,Crop Byproduct,rice,Husk,,,,rice|Husk|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000577,Rice Offal,Crop Byproduct,rice offal,,,,,rice offal||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000578,Rice Polish,Crop Byproduct,rice polish,,,,,rice polish||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000579,Rice Straw,Crop Byproduct,rice,Straw,,,,rice|Straw|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000580,Rye Bran,Crop Byproduct,rye,Bran,,,,rye|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000581,Sorghum Straw,Crop Byproduct,sorghum,Straw,,,,sorghum|Straw|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000582,Unspecified Straw,Crop Byproduct,unspecified,Straw,,,,unspecified|Straw|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000584,Barley Straw,Crop Byproduct,barley,Straw,,,,barley|Straw|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000585,Wheat Bran,Crop Byproduct,wheat,Bran,,,,wheat|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000586,Wheat Bran Remoulage,Crop Byproduct,wheat remoulage,Bran,,,,wheat remoulage|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000587,Wheat Dried,Crop Byproduct,wheat,,Drying,,,wheat||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000589,Wheat Offal,Crop Byproduct,wheat offal,,,,,wheat offal||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000591,Wheat Shorts,Crop Byproduct,wheat shorts,,,,,wheat shorts||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000594,Cereal ByProducts,Crop Byproduct,cereal byproducts,,,,,cereal byproducts||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000595,Banana Leaves,Crop Byproduct,banana,Leaf,,,,banana|Leaf|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000596,Date Seed Ground,Crop Byproduct,date,Seed,Grinding,,,date|Seed|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000600,Watermelon Seed Ground,Crop Byproduct,watermelon,Seed,Grinding,,,watermelon|Seed|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000601,Cowpea Haulm,Crop Byproduct,cowpea haulm,,,,,cowpea haulm||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000602,Cowpea Husk,Crop Byproduct,cowpea,Husk,,,,cowpea|Husk|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000603,Fava Bean Haulm,Crop Byproduct,fava bean haulm,,,,,fava bean haulm||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000604,Groundnut Haulm,Crop Byproduct,groundnut haulm,,,,,groundnut haulm||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000605,Groundnut Hull,Crop Byproduct,groundnut hull,,,,,groundnut hull||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000606,Groundnut Husk Ground,Crop Byproduct,groundnut,Husk,Grinding,,,groundnut|Husk|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000607,Groundnut Ground,Crop Product,groundnut,,Grinding,,,groundnut||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000608,Pea Seed Hull,Crop Byproduct,pea hull,Seed,,,,pea hull|Seed|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000609,Pigeon Pea Leaves,Crop Byproduct,pigeon pea,Leaf,,,,pigeon pea|Leaf|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000610,Soybean Cake,Crop Byproduct,soybean,,,Cake,,soybean|||Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000611,Soybean Full Fat Cake,Crop Byproduct,soybean full fat,,,Cake,,soybean full fat|||Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000612,Soybean Dried,Crop Byproduct,soybean,,Drying,,,soybean||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000613,Soybean Ground,Crop Product,soybean,,Grinding,,,soybean||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000614,Soybean Residue,Crop Byproduct,soybean residue,,,,,soybean residue||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000615,Legume ByProducts,Crop Byproduct,legume byproducts,,,,,legume byproducts||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000616,Canola Cake,Crop Byproduct,canola,,,Cake,,canola|||Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000617,Cocoa Bean Shell,Crop Byproduct,cocoa bean,Shell,,,,cocoa bean|Shell|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000620,Cotton Seed Cake,Crop Byproduct,cotton,Seed,,Cake,,cotton|Seed||Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000625,Palm Kernel Ground,Crop Byproduct,palm,Kernel,Grinding,,,palm|Kernel|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000628,Oil Plant ByProducts,Crop Byproduct,plant byproducts,,,Oil,,plant byproducts|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000632,Hops,Crop Byproduct,hops,,,,,hops||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000633,Beet Pulp Dried,Crop Byproduct,beet,,Drying,Pulp,,beet||Drying|Pulp|,low,expert_exception,"pulp may identify anatomical residue, by-product, or physical form",missing,unreviewed,proposed-not-applied,1.0.0
AOM_000634,Cassava Bran,Crop Byproduct,cassava,Bran,,,,cassava|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000635,Cassava Leaves,Crop Byproduct,cassava,Leaf,,,,cassava|Leaf|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000638,Cassava Shaft,Crop Byproduct,cassava shaft,,,,,cassava shaft||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000639,Concentrate Cassava Bran Fish Waste,Crop Byproduct,concentrate cassava fish waste,Bran,,,,concentrate cassava fish waste|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000640,Yam Peels,Crop Byproduct,yam peels,,,,,yam peels||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000641,Roots and Tuber ByProducts,Crop Byproduct,roots and byproducts,Tuber,,,,roots and byproducts|Tuber|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000642,Sugarcane Molasses,Crop Byproduct,sugarcane molasses,,,,,sugarcane molasses||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000644,Sugar Processing ByProducts,Crop Byproduct,sugar processing byproducts,,,,,sugar processing byproducts||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000647,Barley Grain Crushed,Crop Product,barley,Grain,Crushing,,,barley|Grain|Crushing||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000648,Maize,Crop Product,maize,,,,,maize||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000649,Maize Grain,Crop Product,maize,Grain,,,,maize|Grain|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000651,Maize Oil,Crop Product,maize,,,Oil,,maize|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000654,Millet,Crop Product,millet,,,,,millet||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000655,Rice Grain,Crop Product,rice,Grain,,,,rice|Grain|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000656,Ground whole-grain rice,Crop Product,rice,Grain,Grinding,,,rice|Grain|Grinding||,low,expert_exception,"whole may mean whole crop, whole grain, whole organism, or physical presentation",missing,approved_model_resolution,proposed-not-applied,1.0.0
AOM_000657,Sorghum Grain,Crop Product,sorghum,Grain,,,,sorghum|Grain|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000660,Ground whole-grain wheat,Crop Product,wheat,Grain,Grinding,,,wheat|Grain|Grinding||,low,expert_exception,"whole may mean whole crop, whole grain, whole organism, or physical presentation",missing,approved_model_resolution,proposed-not-applied,1.0.0
AOM_000662,Cereal Products,Crop Product,cereal products,,,,,cereal products||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000663,Jackfruit,Crop Product,jackfruit,,,,,jackfruit||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000664,Ripe Avocado,Crop Product,avocado,,,,Ripe,avocado||||Ripe,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000665,Fruit Product,Crop Product,fruit product,,,,,fruit product||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000667,Legume Products,Crop Product,legume products,,,,,legume products||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000668,Soybean Ground Roasted,Crop Product,soybean,,Grinding;Roasting,,,soybean||Grinding;Roasting||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000670,Soybean Roasted,Crop Product,soybean,,Roasting,,,soybean||Roasting||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000671,Palm Oil,Crop Product,palm,,,Oil,,palm|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000672,Palm Oil Crude,Crop Product,palm crude,,,Oil,,palm crude|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000673,Sunflower,Crop Product,sunflower,,,,,sunflower||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000674,Sunflower Oil,Crop Product,sunflower,,,Oil,,sunflower|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000675,Sunflower Seed Ground,Crop Product,sunflower,Seed,Grinding,,,sunflower|Seed|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000676,Vegetable Oil,Crop Product,vegetable,,,Oil,,vegetable|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000677,Oil Plant Products,Crop Product,plant products,,,Oil,,plant products|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000678,Cassava Starch,Crop Product,cassava starch,,,,,cassava starch||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000679,Cassava Tuber,Crop Product,cassava,Tuber,,,,cassava|Tuber|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000680,Sweet Potato,Crop Product,sweet potato,,,,,sweet potato||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000681,Roots and Tuber Products,Crop Product,roots and products,Tuber,,,,roots and products|Tuber|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000682,Water Hyacinth,Forage Plants,water hyacinth,,,,,water hyacinth||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000683,Aquatic Plants,Forage Plants,aquatic plants,,,,,aquatic plants||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000686,Cenchrus ciliaris,Forage Plants,cenchrus ciliaris,,,,,cenchrus ciliaris||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000687,Desho Grass Hay,Forage Plants,desho grass,,,Hay,,desho grass|||Hay|,low,expert_exception,hay may identify conserved material or physical/product form,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000688,Digitaria Dried,Forage Plants,digitaria,,Drying,,,digitaria||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000689,Pennisetum purpureum,Forage Plants,pennisetum purpureum,,,,,pennisetum purpureum||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000692,Grass Dried Ground,Forage Plants,grass,,Drying;Grinding,,,grass||Drying;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000693,Grass Local,Forage Plants,grass local,,,,,grass local||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000695,Luscious Pasture,Forage Plants,luscious pasture,,,,,luscious pasture||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000697,Natural Pasture,Forage Plants,natural pasture,,,,,natural pasture||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000698,Natural Pasture Dried,Forage Plants,natural pasture,,Drying,,,natural pasture||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000700,Unspecified Grazing,Forage Plants,unspecified grazing,,,,,unspecified grazing||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000701,Cereal and Grass Forages,Forage Plants,cereal and grass forages,,,,,cereal and grass forages||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000703,Acacia angustissima,Forage Plants,acacia angustissima,,,,,acacia angustissima||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000704,Acacia nilotica,Forage Plants,acacia nilotica,,,,,acacia nilotica||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000705,Acacia sieberiana,Forage Plants,acacia sieberiana,,,,,acacia sieberiana||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000706,Acacia tortilis,Forage Plants,acacia tortilis,,,,,acacia tortilis||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000708,Ficus thonningii Leaves Dried,Forage Plants,ficus thonningii,Leaf,Drying,,,ficus thonningii|Leaf|Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000709,Gmelina arborea Leaves Ground,Forage Plants,gmelina arborea,Leaf,Grinding,,,gmelina arborea|Leaf|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000710,Leucaena leucocephala,Forage Plants,leucaena leucocephala,,,,,leucaena leucocephala||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000711,Moringa oleifera Leaves Ground,Forage Plants,moringa oleifera,Leaf,Grinding,,,moringa oleifera|Leaf|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000712,Prosopis juliflora,Forage Plants,prosopis juliflora,,,,,prosopis juliflora||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000713,Prosopis juliflora Pods,Forage Plants,prosopis juliflora,Pod,,,,prosopis juliflora|Pod|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000714,Prosopis juliflora Dried Ground,Forage Plants,prosopis juliflora,,Drying;Grinding,,,prosopis juliflora||Drying;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000716,Tithonia diversifolia,Forage Plants,tithonia diversifolia,,,,,tithonia diversifolia||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000718,Forage Trees,Forage Plants,forage trees,,,,,forage trees||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000719,Alfalfa,Forage Plants,alfalfa,,,,,alfalfa||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000725,Vicia Dried,Forage Plants,vicia,,Drying,,,vicia||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000726,Legume Forages,Forage Plants,legume forages,,,,,legume forages||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000730,Olive Leaves,Forage Plants,olive,Leaf,,,,olive|Leaf|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000733,Siam Weed Leaves Ground,Forage Plants,siam weed,Leaf,Grinding,,,siam weed|Leaf|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000734,Other Forage Plants,Forage Plants,other forage plants,,,,,other forage plants||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000735,Forage Plants,Forage Plants,forage plants,,,,,forage plants||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000736,Supplement,Supplement,supplement,,,,,supplement||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000737,Amino Acid,Supplement,amino acid,,,,,amino acid||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000738,Threonine,Supplement,threonine,,,,,threonine||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_000739,Lysine,Supplement,lysine,,,,,lysine||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_000740,Lysine - HCl,Supplement,lysine hcl,,,,,lysine hcl||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_000743,Carboxymethyl Cellulose,Other Ingredients,carboxymethyl cellulose,,,,,carboxymethyl cellulose||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000744,Cement,Other Ingredients,cement,,,,,cement||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000745,Binder,Other Ingredients,binder,,,,,binder||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000746,Chromium Oxide,Other Ingredients,chromium oxide,,,,,chromium oxide||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000747,Digestibility Marker,Other Ingredients,digestibility marker,,,,,digestibility marker||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000748,Asperozym (Fibrolytic Enzymes),Supplement,asperozym fibrolytic enzymes,,,,,asperozym fibrolytic enzymes||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000749,Axtra Phy Broiler,Supplement,axtra phy broiler,,,,,axtra phy broiler||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000750,Phytase,Supplement,phytase,,,,,phytase||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_000751,Enzyme,Supplement,enzyme,,,,,enzyme||||,high,retain_atomic_candidate,,present,unreviewed,proposed-not-applied,1.0.0
AOM_000752,Chamomile Flower,Supplement,chamomile flower,,,,,chamomile flower||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000753,Bicarbonate of Soda,Other Ingredients,bicarbonate of soda,,,,,bicarbonate of soda||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000754,Calcium,Supplement,calcium,,,,,calcium||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000755,Chalk,Supplement,chalk,,,,,chalk||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000756,Copper,Supplement,copper,,,,,copper||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000757,Dicalcium Phosphate,Supplement,dicalcium phosphate,,,,,dicalcium phosphate||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000758,Iodated Salt,Supplement,iodated salt,,,,,iodated salt||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000759,Iodine,Supplement,iodine,,,,,iodine||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000760,Lime,Supplement,lime,,,,,lime||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000763,Manganese,Supplement,manganese,,,,,manganese||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
