concept_id,preferred_label,ingredient_family,source_identity_candidate,component_candidates,process_candidates,form_candidates,quality_candidates,normalized_signature,confidence,review_route,exception_reason,definition_status,governance_state,status,rule_version
AOM_001632,Pigeon Pea Dried,Crop Byproduct,pigeon pea,,Drying,,,pigeon pea||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001633,Chloris gayana Dried,Forage Plants,chloris gayana,,Drying,,,chloris gayana||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001634,Chloris gayana Dried Wilted,Forage Plants,chloris gayana,,Drying;Wilting,,,chloris gayana||Drying;Wilting||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001635,Chloris gayana Dried Ground,Forage Plants,chloris gayana,,Drying;Grinding,,,chloris gayana||Drying;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001636,Chromolaena odorata Leaves,Forage Plants,chromolaena odorata,Leaf,,,,chromolaena odorata|Leaf|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001637,Chromolaena odorata Leaves Dried Ground,Forage Plants,chromolaena odorata,Leaf,Drying;Grinding,,,chromolaena odorata|Leaf|Drying;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001638,Palm Kernel Cake,Crop Byproduct,palm,Kernel,,Cake,,palm|Kernel||Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001641,Cotton Seed Cake Dried,Crop Byproduct,cotton,Seed,Drying,Cake,,cotton|Seed|Drying|Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001642,Cotton Seed Decorticated Ground,Crop Byproduct,cotton,Seed,Grinding;Dehulling,,,cotton|Seed|Grinding;Dehulling||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001643,Cotton Seed Ground,Crop Byproduct,cotton,Seed,Grinding,,,cotton|Seed|Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001644,Cotton Seed Cake Ground,Crop Byproduct,cotton,Seed,Grinding,Cake,,cotton|Seed|Grinding|Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001645,Sheanut Cake Boiled Dried,Crop Byproduct,sheanut,,Boiling;Drying,Cake,,sheanut||Boiling;Drying|Cake|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001646,Cowpea Dried,Crop Byproduct,cowpea,,Drying,,,cowpea||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001647,Cassava Leaves Dried Ground,Crop Byproduct,cassava,Leaf,Drying;Grinding,,,cassava|Leaf|Drying;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001649,Cynadon dactylon Dried,Forage Plants,cynadon dactylon,,Drying,,,cynadon dactylon||Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_001650,Taro Leaves Boiled Dried,Crop Byproduct,taro,Leaf,Boiling;Drying,,,taro|Leaf|Boiling;Drying||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
