concept_id,scheme_id,module,concept_type,notation,status,hierarchy_level,derived_path,source_row
AOM_001982,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001982,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis africana/Prosopis africana Seed,1414
AOM_001171,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001171,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis africana,1415
AOM_000712,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000712,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis juliflora,1416
AOM_006297,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006297,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis juliflora/Prosopis juliflora Dried,1417
AOM_000714,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000714,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis juliflora/Prosopis juliflora Dried Ground,1418
AOM_006296,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006296,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis juliflora/Prosopis juliflora Pods/Prosopis juliflora Pods Dried Fermented Ground,1419
AOM_006295,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006295,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis juliflora/Prosopis juliflora Pods/Prosopis juliflora Pods Dried Ground,1420
AOM_001730,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001730,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis juliflora/Prosopis juliflora Pods/Prosopis juliflora Pods Ground,1421
AOM_000713,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000713,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prosopis juliflora/Prosopis juliflora Pods,1422
AOM_003071,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003071,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Prunus africana,1423
AOM_001723,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001723,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Psophocarpus scandens/Psophocarpus scandens Leaves/Psophocarpus scandens Leaves Wilted,1424
AOM_001992,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001992,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus erinaceus/Pterocarpus erinaceus Leaves/Pterocarpus erinaceus Leaves Dried,1425
AOM_003691,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003691,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus erinaceus/Pterocarpus erinaceus Leaves and Twigs,1426
AOM_001802,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_001802,staging,8,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus erinaceus,1427
AOM_006010,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006010,staging,10,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus lucens/Pterocarpus lucens Leaves/Pterocarpus lucens Leaves Dried,1428
AOM_006009,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_006009,staging,9,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees/Pterocarpus lucens/Pterocarpus lucens Leaves,1429
