"concept_id","property","value","value_type","source_column"
"era:practice:a16","short_suffix","Nfix","string","Subpractice.Suffix"
"era:practice:a16","linked_table","Res.Out","string","Linked.Tab"
"era:practice:a16","linked_column","M.Level.Name","string","Linked.Col"
"era:practice:a16","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a16.1","legacy_subpractice_code","TPM+N","string","Subpractice.Code"
"era:practice:a16.1","legacy_short_label","AgFor Prune Mulch (Nfix)","string","Subpractice.S"
"era:practice:a16.1","short_suffix","Nfix","string","Subpractice.Suffix"
"era:practice:a16.1","linked_table","Res.Out","string","Linked.Tab"
"era:practice:a16.1","linked_column","M.Level.Name","string","Linked.Col"
"era:practice:a16.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a16.2","legacy_subpractice_code","TPI+N","string","Subpractice.Code"
"era:practice:a16.2","legacy_short_label","AgrFor Prune Incorp (Nfix)","string","Subpractice.S"
"era:practice:a16.2","short_suffix","Nfix","string","Subpractice.Suffix"
"era:practice:a16.2","linked_table","Res.Out","string","Linked.Tab"
"era:practice:a16.2","linked_column","M.Level.Name","string","Linked.Col"
"era:practice:a16.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a17","legacy_subpractice_code","TPA-N","string","Subpractice.Code"
"era:practice:a17","legacy_short_label","AgrFor Prune (nonNfix)","string","Subpractice.S"
"era:practice:a17","short_suffix","nonNfix","string","Subpractice.Suffix"
"era:practice:a17","linked_table","Res.Out","string","Linked.Tab"
"era:practice:a17","linked_column","M.Level.Name","string","Linked.Col"
"era:practice:a17","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a17.1","legacy_subpractice_code","TPM-N","string","Subpractice.Code"
"era:practice:a17.1","legacy_short_label","AgFor Prune Mulch (nonNfix)","string","Subpractice.S"
"era:practice:a17.1","short_suffix","nonNfix","string","Subpractice.Suffix"
"era:practice:a17.1","linked_table","Res.Out","string","Linked.Tab"
"era:practice:a17.1","linked_column","M.Level.Name","string","Linked.Col"
"era:practice:a17.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a17.2","legacy_subpractice_code","TPI-N","string","Subpractice.Code"
"era:practice:a17.2","legacy_short_label","AgFor Prune Incorp (nonNfix)","string","Subpractice.S"
"era:practice:a17.2","short_suffix","nonNfix","string","Subpractice.Suffix"
"era:practice:a17.2","linked_table","Res.Out","string","Linked.Tab"
"era:practice:a17.2","linked_column","M.Level.Name","string","Linked.Col"
