"scheme_id","concept_type","parent_id","source_label","source_notation","concept_id"
"era:scheme:practice","practice","era:practice:theme:011","Reduced Tillage","RT","era:practice:practice:052"
"era:scheme:practice","practice","era:practice:theme:011","Mulch","Mu","era:practice:practice:053"
"era:scheme:practice","practice","era:practice:theme:011","Green Manure","GM","era:practice:practice:054"
"era:scheme:practice","practice","era:practice:theme:011","Biochar","Bi","era:practice:practice:055"
"era:scheme:practice","practice","era:practice:theme:011","pH Control","pH","era:practice:practice:056"
"era:scheme:practice","practice","era:practice:theme:011","Crop Residue","CR","era:practice:practice:057"
"era:scheme:practice","practice","era:practice:theme:011","Crop Residue Incorporation","CRI","era:practice:practice:058"
"era:scheme:practice","practice","era:practice:theme:011","Improved Fallow","IFa","era:practice:practice:059"
"era:scheme:practice","practice","era:practice:theme:011","Improved Fallow",,"era:practice:practice:060"
"era:scheme:practice","practice","era:practice:theme:011","Conventional Tillage",,"era:practice:practice:061"
"era:scheme:practice","practice","era:practice:theme:011","Crop Residue",,"era:practice:practice:062"
"era:scheme:practice","practice","era:practice:theme:011","No-Till (Off-season)",,"era:practice:practice:063"
"era:scheme:practice","practice","era:practice:theme:011","Reduced Tillage (Off-season)",,"era:practice:practice:064"
"era:scheme:practice","practice","era:practice:theme:012","Irrigation",,"era:practice:practice:065"
"era:scheme:practice","practice","era:practice:theme:012","Planting",,"era:practice:practice:066"
"era:scheme:outcome","pillar",,"Productivity","Productivity","era:outcome:pillar:001"
"era:scheme:outcome","pillar",,"Other","Other","era:outcome:pillar:002"
"era:scheme:outcome","pillar",,"Resilience","Resilience","era:outcome:pillar:003"
"era:scheme:outcome","pillar",,"Mitigation","Mitigation","era:outcome:pillar:004"
"era:scheme:outcome","subpillar","era:outcome:pillar:001","Yield","Yi","era:outcome:subpillar:001"
"era:scheme:outcome","subpillar","era:outcome:pillar:002","Livestock Diet","Li","era:outcome:subpillar:002"
"era:scheme:outcome","subpillar","era:outcome:pillar:001","Economics","Ec","era:outcome:subpillar:003"
"era:scheme:outcome","subpillar","era:outcome:pillar:003","Physical","Ph","era:outcome:subpillar:004"
"era:scheme:outcome","subpillar","era:outcome:pillar:003","Efficiency","Ef","era:outcome:subpillar:005"
"era:scheme:outcome","subpillar","era:outcome:pillar:003","Social","So","era:outcome:subpillar:006"
"era:scheme:outcome","subpillar","era:outcome:pillar:004","Emissions","Em","era:outcome:subpillar:007"
"era:scheme:outcome","subpillar","era:outcome:pillar:004","Carbon Stocks","CS","era:outcome:subpillar:008"
"era:scheme:outcome","subpillar","era:outcome:pillar:004","Cookstove","Ck","era:outcome:subpillar:009"
"era:scheme:outcome","indicator","era:outcome:subpillar:001","Product Yield","PY","era:outcome:indicator:001"
"era:scheme:outcome","indicator","era:outcome:subpillar:002","Feed Intake","FI","era:outcome:indicator:002"
"era:scheme:outcome","indicator","era:outcome:subpillar:001","Non-Product Yield","NPY","era:outcome:indicator:003"
"era:scheme:outcome","indicator","era:outcome:subpillar:003","Income","In","era:outcome:indicator:004"
"era:scheme:outcome","indicator","era:outcome:subpillar:003","Costs","Co","era:outcome:indicator:005"
"era:scheme:outcome","indicator","era:outcome:subpillar:003","Economic Performance","EP","era:outcome:indicator:006"
"era:scheme:outcome","indicator","era:outcome:subpillar:004","Biodiversity","Bd","era:outcome:indicator:007"
"era:scheme:outcome","indicator","era:outcome:subpillar:004","Pest & Pathogen","PP","era:outcome:indicator:008"
"era:scheme:outcome","indicator","era:outcome:subpillar:004","Soil Quality","SQ","era:outcome:indicator:009"
"era:scheme:outcome","indicator","era:outcome:subpillar:004","Yield Stability","YS","era:outcome:indicator:010"
"era:scheme:outcome","indicator","era:outcome:subpillar:004","Animal Survival","AS","era:outcome:indicator:011"
"era:scheme:outcome","indicator","era:outcome:subpillar:005","Efficiency","Ef","era:outcome:indicator:012"
"era:scheme:outcome","indicator","era:outcome:subpillar:006","Gender Equity","GE","era:outcome:indicator:013"
"era:scheme:outcome","indicator","era:outcome:subpillar:006","Labour","La","era:outcome:indicator:014"
"era:scheme:outcome","indicator","era:outcome:subpillar:007","Emissions","Em","era:outcome:indicator:015"
"era:scheme:outcome","indicator","era:outcome:subpillar:008","Carbon Stocks","CS","era:outcome:indicator:016"
"era:scheme:outcome","indicator","era:outcome:subpillar:009","Costs","CkCo","era:outcome:indicator:017"
"era:scheme:outcome","indicator","era:outcome:subpillar:009","Fuel Efficiency","FE","era:outcome:indicator:018"
