"concept_id","language","label_type","label","source_column"
"era:practice:a15.2","en","alt","AgFor Prune Incorp (noID)","Subpractice.S"
"era:practice:a16","en","pref","Tree Prunings Applied (N fixing)","Subpractice"
"era:practice:a16","en","alt","AgFor Prune (Nfix)","Subpractice.S"
"era:practice:a16.1","en","pref","Tree Prunings Mulched (N fixing)","Subpractice"
"era:practice:a16.1","en","alt","AgFor Prune Mulch (Nfix)","Subpractice.S"
"era:practice:a16.2","en","pref","Tree Prunings Incorporated (N fixing)","Subpractice"
"era:practice:a16.2","en","alt","AgrFor Prune Incorp (Nfix)","Subpractice.S"
"era:practice:a17","en","pref","Tree Prunings Applied (Non N fixing)","Subpractice"
"era:practice:a17","en","alt","AgrFor Prune (nonNfix)","Subpractice.S"
"era:practice:a17.1","en","pref","Tree Prunings Mulched (Non N fixing)","Subpractice"
"era:practice:a17.1","en","alt","AgFor Prune Mulch (nonNfix)","Subpractice.S"
"era:practice:a17.2","en","pref","Tree Prunings Incorporated (Non N fixing)","Subpractice"
"era:practice:a17.2","en","alt","AgFor Prune Incorp (nonNfix)","Subpractice.S"
"era:practice:a18","en","pref","Tree Pruning (Fate Unknown)","Subpractice"
"era:practice:a18","en","alt","AgFor Prune (Unknown)","Subpractice.S"
"era:practice:a19.1","en","pref","Agroforestry Fallow (N fixing)","Subpractice"
"era:practice:a19.1","en","alt","AgFor Fallow (Nfix)","Subpractice.S"
"era:practice:a19.2","en","pref","Agroforestry Fallow (Non N fixing)","Subpractice"
"era:practice:a19.2","en","alt","AgFor Fallow (nonNfix)","Subpractice.S"
"era:practice:a19.3","en","pref","Agroforestry Fallow (Unspecified)","Subpractice"
"era:practice:a19.3","en","alt","AgFor Fallow (NoID)","Subpractice.S"
"era:practice:a99","en","pref","Other Agroforestry","Subpractice"
"era:practice:a99","en","alt","AgFor Other","Subpractice.S"
"era:practice:d17.1","en","pref","Crop Fodders (Added)","Subpractice"
"era:practice:d17.1","en","alt","Feed Crop (Add)","Subpractice.S"
"era:practice:d17.2","en","pref","Non Crop Fodders (Added)","Subpractice"
"era:practice:d17.2","en","alt","Feed NonCrop (Add)","Subpractice.S"
"era:practice:d17.3","en","pref","Agroforestry Fodders (Added)","Subpractice"
"era:practice:d17.3","en","alt","Feed AgFor (Add)","Subpractice.S"
"era:practice:d17.4","en","pref","Animal Manures (Added)","Subpractice"
"era:practice:d17.4","en","alt","Feed Manure (Add)","Subpractice.S"
"era:practice:d17.5","en","pref","Other Feed (Added)","Subpractice"
"era:practice:d17.5","en","alt","Feed Other (Add)","Subpractice.S"
"era:practice:d18.1","en","pref","Crop Fodders (Substituted)","Subpractice"
"era:practice:d18.1","en","alt","Feed Crop (Sub)","Subpractice.S"
"era:practice:d18.2","en","pref","Non Crop Fodders (Substituted)","Subpractice"
"era:practice:d18.2","en","alt","Feed NonCrop (Sub)","Subpractice.S"
"era:practice:d18.3","en","pref","Agroforestry Fodders (Substituted)","Subpractice"
"era:practice:d18.3","en","alt","Feed AgFor (Sub)","Subpractice.S"
"era:practice:d18.4","en","pref","Animal Manures (Substituted)","Subpractice"
"era:practice:d18.4","en","alt","Feed Manure (Sub)","Subpractice.S"
"era:practice:d18.5","en","pref","Other Feed (Substituted)","Subpractice"
"era:practice:d18.5","en","alt","Feed Byproducts (Sub)","Subpractice.S"
"era:practice:d22.1","en","pref","Chemically Processed Feed","Subpractice"
"era:practice:d22.1","en","alt","Feed Chem Process","Subpractice.S"
"era:practice:d22.2","en","pref","Mechanically Processed Feed","Subpractice"
"era:practice:d22.2","en","alt","Feed Mech Process","Subpractice.S"
"era:practice:d22.3","en","pref","Concentrated Feed","Subpractice"
"era:practice:d22.3","en","alt","Feed Concentrates","Subpractice.S"
"era:practice:d9","en","pref","Improved Breeds","Subpractice"
"era:practice:d9","en","alt","Breed Impr","Subpractice.S"
"era:practice:d10","en","pref","Hybridization or Cross Breeding","Subpractice"
"era:practice:d10","en","alt","Breed Hybrid","Subpractice.S"
"era:practice:d13","en","pref","Manure Collection","Subpractice"
"era:practice:d14","en","pref","Manure Storage","Subpractice"
"era:practice:d15","en","pref","Manure Treatment","Subpractice"
"era:practice:d15","en","alt","Manure Treat","Subpractice.S"
"era:practice:d16","en","pref","Rotational Grazing","Subpractice"
"era:practice:d16","en","alt","Grazing Rotation","Subpractice.S"
"era:practice:d11","en","pref","Improved Pasture (N fixing)","Subpractice"
"era:practice:d11","en","alt","Pasture Impr (Nfix)","Subpractice.S"
"era:practice:d12","en","pref","Improved Pasture (Non N fixing)","Subpractice"
"era:practice:d12","en","alt","Pasture Impr (nonNfix)","Subpractice.S"
"era:practice:d19","en","pref","Controlled Grazing","Subpractice"
"era:practice:d19","en","alt","Grazing Controlled","Subpractice.S"
"era:practice:d20","en","pref","Cut & Carry","Subpractice"
"era:practice:d20","en","alt","Grazing Cut & Carry","Subpractice.S"
"era:practice:d1","en","pref","Aquasilviculture","Subpractice"
"era:practice:h60","en","pref","Basal or Conventional Diet","Subpractice"
"era:practice:h60","en","alt","Diet Control","Subpractice.S"
"era:practice:h61","en","pref","Conventional Supplement Use","Subpractice"
"era:practice:h61","en","alt","Diet Control","Subpractice.S"
"era:practice:h10.3","en","pref","Conventional Manure Handling","Subpractice"
"era:practice:h10.3","en","alt","Manure Hand Conv","Subpractice.S"
