case_id,concept_id,preferred_label,hierarchy_path,source_context,component_or_form_terms,process_terms,definition_status,lexical_collision_keys,feedipedia,agrovoc,cpc_product,review_status,proposed_disposition,reviewer,review_date,rationale
CEREAL-001478,AOM_001478,Loudetia togoensis,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Loudetia togoensis,Loudetia togoensis,,,present,,,,,review-required,,,,
CEREAL-000695,AOM_000695,Luscious Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Luscious Pasture,Luscious Pasture,,,present,,,,,review-required,,,,
CEREAL-002039,AOM_002039,Megathyrsus maximus Bran,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Megathyrsus maximus/Megathyrsus maximus Bran,Megathyrsus maximus,,,present,,,,,review-required,,,,
CEREAL-001676,AOM_001676,Megathyrsus maximus Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Megathyrsus maximus/Megathyrsus maximus Dried,Megathyrsus maximus,,dried,present,,https://www.feedipedia.org/node/11522,,,review-required,,,,
CEREAL-003912,AOM_003912,Megathyrsus maximus Leaves,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Megathyrsus maximus/Megathyrsus maximus Leaves,Megathyrsus maximus,,,present,,https://www.feedipedia.org/node/11521,,,review-required,,,,
CEREAL-006115,AOM_006115,Megathyrsus maximus Wilted,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Megathyrsus maximus/Megathyrsus maximus Wilted,Megathyrsus maximus,,wilted,present,,,,,review-required,,,,
CEREAL-001479,AOM_001479,Megathyrsus maximus,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Megathyrsus maximus,Megathyrsus maximus,,,present,,https://www.feedipedia.org/node/11521,,,review-required,,,,
CEREAL-001481,AOM_001481,Melinis repens,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Melinis repens,Melinis repens,,,present,,https://www.feedipedia.org/node/12371,,,review-required,,,,
CEREAL-001513,AOM_001513,Microchloa caffra,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Microchloa caffra,Microchloa caffra,,,present,,,,,review-required,,,,
CEREAL-006236,AOM_006236,Nassella Trichotoma,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Nassella Trichotoma,Nassella Trichotoma,,,present,,,,,review-required,,,,
CEREAL-006277,AOM_006277,Panicum Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum/Panicum Dried,Panicum,,dried,present,,https://www.feedipedia.org/node/11522,,,review-required,,,,
CEREAL-003677,AOM_003677,Panicum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum,Panicum,,,present,,https://www.feedipedia.org/node/11522,,,review-required,,,,
CEREAL-006275,AOM_006275,Panicum antidotale Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum antidotale/Panicum antidotale Dried,Panicum antidotale,,dried,present,,https://www.feedipedia.org/node/11522,,,review-required,,,,
CEREAL-006275,AOM_006275,Panicum maximum Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum maximum/Panicum maximum Dried,Panicum maximum,,dried,present,,,,,review-required,,,,
CEREAL-001677,AOM_001677,Panicum maximum Ensiled,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum maximum/Panicum maximum Ensiled,Panicum maximum,,ensiled,present,,,,,review-required,,,,
CEREAL-006276,AOM_006276,Panicum maximum Ensiled Wilted,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum maximum/Panicum maximum Ensiled Wilted,Panicum maximum,,ensiled;wilted,present,,https://www.feedipedia.org/node/11522,,,review-required,,,,
CEREAL-001408,AOM_001408,Panicum maximum Straw,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum maximum/Panicum maximum Straw,Panicum maximum,,,missing,,https://www.feedipedia.org/node/11523,,,review-required,,,,
CEREAL-001709,AOM_001709,Panicum maximum Wilted,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum maximum/Panicum maximum Wilted,Panicum maximum,,wilted,present,,https://www.feedipedia.org/node/11522,,,review-required,,,,
CEREAL-001407,AOM_001407,Panicum maximum,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Panicum maximum,Panicum maximum,,,present,,https://www.feedipedia.org/node/11522,,,review-required,,,,
CEREAL-000697,AOM_000697,Natural Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture,Pasture,,,present,,,,,review-required,,,,
CEREAL-000698,AOM_000698,Natural Pasture Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture/Natural Pasture Dried,Pasture,,dried,present,,,,,review-required,,,,
CEREAL-001789,AOM_001789,Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pasture,Pasture,,,present,,,,,review-required,,,,
