subject_id,target_scheme,target_id,target_uri,original_value,evidence,status
AOM_000616,ncbi-taxonomy,NCBITaxon_3708,http://purl.obolibrary.org/obo/NCBITaxon_3708,http://purl.obolibrary.org/obo/NCBITaxon_3708,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000616,world-flora-online,wfo-0000571271,,wfo-0000571271,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000616,cpc-component,2191,,2191,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_004255,ncbi-taxonomy,NCBITaxon_4006,http://purl.obolibrary.org/obo/NCBITaxon_4006,http://purl.obolibrary.org/obo/NCBITaxon_4006,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_004255,world-flora-online,wfo-0000366385,,wfo-0000366385,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_004255,feedipedia,12262,https://www.feedipedia.org/node/12262,https://www.feedipedia.org/node/12262,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002136,ncbi-taxonomy,NCBITaxon_180498,http://purl.obolibrary.org/obo/NCBITaxon_180498,http://purl.obolibrary.org/obo/NCBITaxon_180498,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002136,world-flora-online,wfo-0000366385,,wfo-0000366385,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002136,feedipedia,12262,https://www.feedipedia.org/node/12262,https://www.feedipedia.org/node/12262,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002136,cpc-product,01441,,01441,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_002136,cpc-component,2191,,2191,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001190,ncbi-taxonomy,NCBITaxon_4146,http://purl.obolibrary.org/obo/NCBITaxon_4146,http://purl.obolibrary.org/obo/NCBITaxon_4146,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001190,world-flora-online,wfo-0000095153,,wfo-0000095153,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001190,feedipedia,12373,https://www.feedipedia.org/node/12373,https://www.feedipedia.org/node/12373,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001190,cpc-component,2191,,2191,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001439,agrovoc,c_27459,http://aims.fao.org/aos/agrovoc/c_27459,http://aims.fao.org/aos/agrovoc/c_27459,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
